품목비교 Historical Data
조회기간 :,2008-07-20 ~ 2018-07-18
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[일간 기준]
,"철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton","PDS 에너지 하위지수2015.01.02=100","PDS 비철금속 하위지수2015.01.02=100","PDS 철강 하위지수2015.01.02=100","PDS 석유화학 하위지수2015.01.02=100","PDS 농산물 하위지수2015.01.02=100","LMEX Index1999.04=1000","US Dollar IndexMar 1973=100","DRAMeXchange Index (DXI)2001.10.01=1000","TOCOM Index2002.05.31=100","Rogers International Commodities Index1998.07.31=1000","Rogers International Commodities Index Energy1998.07.31=1000","Rogers International Commodities Index Metals1998.07.31=1000","Rogers International Commodities Index Agriculture1998.07.31=1000"
20180216,#N/A,109.924,119.251,112.318,124.714,89.276,3439,84.9754,#N/A,256.11,2444.38,350.55,2279.46,829.39
20180215,78.43,110,116.921,112.318,124.714,88.847,3433,84.8615,#N/A,259.27,2439.06,350.55,2279.46,829.39
20180214,78.41,108.219,116.271,112.318,124.714,88.67,3354,85.3733,28189.28,254.19,2413.65,348.44,2269.26,832.31
20180213,77.36,107.969,114.966,112.318,124.714,88.929,3291,85.65,28187.27,255.8,2429.67,346.68,2269.09,827.94
20180212,76.24,108.635,114.903,112.021,124.714,87.482,3271,86.1544,28187.27,#N/A,2389.55,339.47,2221.97,828.14
20180209,76.46,112.089,115.904,112.021,131.175,87.919,3318,86.2365,28190.99,260.05,2375.74,339.44,2180.35,818.4
20180208,77.32,113.35,118.225,112.021,131.175,88.182,3319,86.2199,28189.58,263.64,2417.68,350.53,2204.32,823.85
20180207,77.2,115.225,118.794,112.021,131.175,87.938,3391,86.0656,28225.58,267.98,2426.35,353.61,2199.41,825.56
20180206,75.92,116.157,119.332,112.021,131.175,87.554,3448,85.6391,28223.85,267.19,2454.95,361.28,2239.8,822.78
20180205,75.7,118.316,119.843,113.11,131.175,87.869,3407,85.4873,28137.12,271.46,2467.4,365.33,2266.46,817.43
20180202,74.39,119.543,119.348,113.11,130.834,87.857,3443,85.1997,28333.49,276.35,2487.13,371.64,2258.24,822.31
20180201,72.88,119.397,119.876,113.11,130.834,87.583,3433,84.6717,28432.75,273.21,2506.08,375.39,2283.2,824.26
20180131,72.92,120.323,119.683,113.11,130.834,88.361,3400,84.855,27781.76,269.76,2494.69,372.74,2276.01,822.07
