Date,Open,High,Low,Close,Adj Close,Volume
2011-01-16,4.956000,5.373000,4.684000,4.721000,3.170084,12522
2011-01-23,4.755000,4.824000,4.632000,4.661000,3.129795,500
2011-01-30,4.610000,4.935000,4.610000,4.900000,3.290281,1210
2011-02-06,4.926000,4.936000,4.879000,4.913000,3.299010,950
2011-02-13,5.046000,5.070000,5.000000,5.050000,3.391003,695
2011-02-20,4.930000,4.930000,4.600000,4.748000,3.188215,1000
2011-02-27,4.833000,4.833000,4.630000,4.720000,3.169413,4300
2011-03-06,4.623000,4.623000,4.190000,4.221000,2.834342,7500
2011-03-13,4.100000,4.143000,3.734000,4.114000,2.798869,19901
2011-03-20,4.150000,4.573000,4.070000,4.573000,3.111140,0
2011-03-27,4.506000,4.660000,4.506000,4.660000,3.170329,0
2011-04-03,4.769000,4.859000,4.741000,4.827000,3.283944,8500
2011-04-10,4.905000,4.905000,4.550000,4.708000,3.202984,2000
2011-04-17,4.682000,4.755000,4.533000,4.755000,3.234960,0
2011-04-24,4.721000,4.721000,4.462000,4.466000,3.038345,3000
2011-05-01,4.484000,4.484000,4.348000,4.475000,3.044467,0
2011-05-08,4.647000,4.847000,4.620000,4.635000,3.153320,3000
2011-05-15,4.563000,4.779000,4.550000,4.741000,3.225435,200
2011-05-22,4.711000,4.860000,4.600000,4.718000,3.209787,2100
2011-05-29,4.750000,4.940000,4.608000,4.608000,3.134951,4345
2011-06-05,4.616000,4.616000,4.514000,4.564000,3.105017,0
2011-06-12,4.599000,4.621000,4.419000,4.419000,3.006369,0
2011-06-19,4.401000,4.522000,4.392000,4.455000,3.030861,1369
2011-06-26,4.387000,4.675000,4.314000,4.675000,3.180534,0
2011-07-03,4.737000,4.843000,4.700000,4.843000,3.294829,0
2011-07-10,4.858000,4.860000,4.689000,4.750000,3.231558,880
2011-07-17,4.768000,4.952000,4.699000,4.826000,3.283264,4060
2011-07-24,4.908000,4.952000,4.813000,4.813000,3.274419,150
2011-07-31,4.950000,4.950000,4.089000,4.089000,2.781861,5652
2011-08-07,4.000000,4.286000,3.847000,4.286000,2.915885,7528
2011-08-14,4.419000,4.510000,4.122000,4.122000,2.804312,2700
2011-08-21,4.011000,4.177000,4.005000,4.081000,2.776419,0
2011-08-28,4.267000,4.662000,4.255000,4.498000,3.060116,8170
2011-09-04,4.440000,4.690000,4.300000,4.507000,3.066239,8000
2011-09-11,4.479000,4.600000,4.317000,4.545000,3.119835,11725
2011-09-18,4.382000,4.382000,3.519000,3.525000,2.419674,2500
2011-09-25,3.269000,3.561000,3.085000,3.130000,2.148533,7190
2011-10-02,2.935000,3.490000,2.793000,3.395000,2.330438,8000
2011-10-09,3.530000,3.685000,3.363000,3.570000,2.450563,2750
2011-10-16,3.740000,3.740000,3.079000,3.153000,2.164321,1789
2011-10-23,3.380000,3.750000,3.364000,3.720000,2.553529,0
2011-10-30,3.601000,3.762000,3.381000,3.664000,2.515088,1130
2011-11-06,3.610000,3.745000,3.473000,3.547000,2.434775,1000
2011-11-13,3.589000,3.650000,3.486000,3.545000,2.433403,10
2011-11-20,3.550000,3.550000,3.133000,3.221000,2.210999,0
2011-11-27,3.264000,3.650000,3.264000,3.650000,2.505478,0
2011-12-04,3.643000,3.771000,3.450000,3.545000,2.433403,1580
2011-12-11,3.585000,3.585000,3.420000,3.457000,2.372997,0
2011-12-18,3.320000,3.443000,3.303000,3.437000,2.359268,0
2011-12-25,3.437000,3.437000,3.188000,3.290000,2.258363,1000
2012-01-01,3.324000,3.622000,3.289000,3.516000,2.413496,0
2012-01-08,3.526000,3.771000,3.526000,3.706000,2.543918,0
2012-01-15,3.714000,4.117000,3.714000,4.117000,2.826042,0
2012-01-22,4.014000,4.046000,3.815000,3.996000,2.742984,0
2012-01-29,4.005000,4.148000,3.980000,4.148000,2.847322,1000
2012-02-05,4.330000,4.385000,4.128000,4.128000,2.833592,0
2012-02-12,4.415000,4.580000,4.295000,4.295000,2.948227,2621
2012-02-19,4.507000,4.507000,4.202000,4.202000,2.884389,900
2012-02-26,4.240000,4.533000,4.240000,4.533000,3.111598,0
2012-03-04,4.543000,4.650000,4.228000,4.476000,3.072471,7054
