날짜,철광석 Fines (Daily) [중국(수입가 CFR)] 현물
20170914,73.99
20170915,72.13
20170918,71.76
20170919,68.85
20170920,69.65
20170921,66.09
20170922,63.56
20170925,63.06
20170926,64.95
20170927,64.15
20170928,62.89
20170929,62.05
20171002,62.05
20171003,62.05
20171004,62.05
20171005,61.48
20171006,62.24
20171009,62.67
20171010,61.01
20171011,59.65
20171012,60.09
20171013,62.53
20171016,62.94
20171017,62.72
20171019,60.88
20171020,62.46
20171023,62.0
20171024,62.42
20171025,62.24
20171026,61.47
20171027,60.08
20171030,58.75
20171031,58.52
20171101,59.35
20171102,59.79
20171103,59.88
20171106,63.36
20171107,62.66
20171108,62.26
20171109,62.32
20171110,62.6
20171113,62.19
20171114,63.17
20171115,61.84
20171116,61.57
20171117,62.61
20171120,63.47
20171121,62.5
20171122,65.17
20171123,67.69
20171124,67.94
20171127,67.27
20171128,67.76
20171129,67.92
20171130,68.13
20171201,70.11
20171204,72.68
20171205,71.77
20171206,69.36
20171207,65.7
20171208,69.35
20171211,68.82
20171212,71.25
20171213,70.85
20171214,69.94
20171215,71.5
20171218,74.15
20171219,73.93
20171220,72.84
20171221,72.82
20171222,76.36
20171226,76.08
20171227,72.62
20171228,72.62
20171229,72.61
20180102,74.71
20180103,74.97
20180104,76.54
20180105,76.8
20180108,77.74
20180109,78.47
20180110,78.31
20180111,79.08
20180112,78.05
20180115,76.59
20180116,75.71
20180117,74.51
20180118,74.87
20180119,76.75
20180122,76.61
20180123,76.75
20180124,74.53
20180125,75.04
20180126,74.4
20180129,74.33
20180130,72.97
20180131,72.92
20180201,72.88
20180202,74.39
20180205,75.7
20180206,75.92
20180207,77.2
20180208,77.32
20180209,76.46
20180212,76.24
20180213,77.36
20180214,78.41
20180215,78.43
20180222,78.2
20180223,78.82
20180226,79.36
20180227,79.15
20180228,78.61
20180301,79.39
20180302,78.43
20180305,77.03
20180306,76.07
20180307,75.84
20180308,73.23
20180309,70.09
20180312,69.93
20180313,69.78
20180314,71.64
20180315,72.11
20180316,69.84
20180319,67.45
20180320,66.94
20180321,67.25
20180322,67.18
20180323,64.58
20180326,64.33
20180327,65.17
20180328,63.12
20180402,65.8
20180403,63.76
20180404,63.57
20180405,63.57
20180406,63.57
20180409,63.95
20180410,65.3
20180411,64.79
20180412,64.47
20180413,64.96
20180416,63.93
20180417,64.51
20180418,65.88
20180419,68.45
20180420,67.06
20180423,67.67
20180425,66.38
20180426,66.26
20180427,65.68
20180430,65.43
20180502,66.98
20180503,66.87
20180507,67.26
20180508,66.8
20180509,66.46
20180510,66.83
20180511,67.42
20180514,68.93
20180515,67.28
20180516,68.03
20180517,67.49
20180521,65.3
20180522,64.41
20180523,64.11
20180524,65.54
20180525,63.94
20180528,63.89
20180530,65.78
20180531,65.32
20180601,66.16
20180604,65.47
20180605,66.34
20180606,66.56
20180607,66.84
20180611,66.75
20180612,67.23
20180613,67.02
20180614,68.49
20180618,68.49
20180619,66.45
20180620,65.49
20180621,64.88
20180622,65.34
20180625,65.49
20180626,66.62
